symbol,strategy_annual_return_diff,strategy_sharpe_diff,strategy_max_drawdown_diff,excess_annual_return_diff,total_turnover_diff,total_transaction_cost_diff,candidate_name
300750,0.0035887378017154248,0.006113269302699953,0.0006089947787485395,0.0035887378017154248,6.0,0.002999999999999999,v2_no_recent_exit
600519,0.008217671276938843,0.03732317002479524,0.018171632956451078,0.008217671276938843,6.600000000000001,0.0032999999999999974,v2_no_recent_exit
600036,1.2760085424501355e-05,0.0003497810116926993,-0.0004270239979965451,1.2760085424501355e-05,6.0,0.0029999999999999957,v2_no_recent_exit
000001,-0.007514532795275253,-0.03254740384050067,-0.019868545086775824,-0.007514532795275253,9.0,0.004499999999999997,v2_no_recent_exit
000002,0.002210400268989665,0.014207652435956009,6.811349255242405e-05,0.002210400268989665,10.200000000000003,0.0051,v2_no_recent_exit
300750,-0.008559289491895328,-0.017249203316672235,-0.002136462108352055,-0.008559289491895328,1.8000000000000043,0.000899999999999998,v2_no_rebound_score
600519,0.00829494974613354,0.03760879589681604,0.02348556692618453,0.00829494974613354,2.4000000000000057,0.0011999999999999997,v2_no_rebound_score
600036,0.0008236346293126751,0.004391565830200093,0.0026220319491793154,0.0008236346293126751,3.000000000000014,0.0015000000000000013,v2_no_rebound_score
000001,0.00017530767912565803,0.0010852545982193325,0.0035054733025183804,0.00017530767912565803,3.0,0.0014999999999999944,v2_no_rebound_score
000002,0.00229258443663094,0.01354470850153111,0.00396828414131456,0.00229258443663094,2.0999999999999943,0.0010499999999999954,v2_no_rebound_score
300750,0.005243968251200659,0.009851879937867958,0.0014655780170272914,0.005243968251200659,4.200000000000003,0.0020999999999999977,v2_no_fast_ma_slope
600519,-0.0010009471750005439,-0.004627259699475639,-0.004699771814488551,-0.0010009471750005439,6.0,0.0029999999999999957,v2_no_fast_ma_slope
600036,0.004624942728036485,0.022753059428553928,0.009951589907931657,0.004624942728036485,3.000000000000014,0.0015000000000000013,v2_no_fast_ma_slope
000001,0.0014550691435119,0.006585385377877336,0.004676029933005421,0.0014550691435119,3.6000000000000014,0.001799999999999996,v2_no_fast_ma_slope
000002,-0.00415040107920206,-0.01979496544030135,-0.004357548107564724,-0.00415040107920206,4.799999999999997,0.0023999999999999994,v2_no_fast_ma_slope
