symbol,strategy_annual_return_diff,strategy_sharpe_diff,strategy_max_drawdown_diff,excess_annual_return_diff,total_turnover_diff,total_transaction_cost_diff,comparison_name
300750,-0.006022514903832876,-0.013297966138106077,-0.018834433215395685,-0.006022514903832876,9.600000000000001,0.004800000000000002,remove_slope_with_recent_exit
600519,-0.005277197671795797,-0.024328293210331642,-0.005820621888174671,-0.005277197671795797,10.200000000000003,0.005099999999999993,remove_slope_with_recent_exit
600036,0.00610496429194296,0.03040219559853358,0.005795996198850073,0.00610496429194296,11.399999999999991,0.005699999999999997,remove_slope_with_recent_exit
000001,-0.005458713246568769,-0.023213570556453962,-0.02426765657843788,-0.005458713246568769,11.399999999999991,0.005700000000000004,remove_slope_with_recent_exit
000002,-0.008356434903769472,-0.03552255044169117,-0.011185584135071092,-0.008356434903769472,17.400000000000006,0.008700000000000006,remove_slope_with_recent_exit
300750,-0.012886017417311546,-0.02767819767034929,-0.03953013407465922,-0.012886017417311546,12.0,0.005999999999999998,remove_recent_exit_with_slope
600519,-0.0013766379200632617,-0.006785108846833088,-0.003639422840181261,-0.0013766379200632617,9.0,0.004499999999999997,remove_recent_exit_with_slope
600036,0.00031805877011792383,0.0027858128595909352,-0.0355177535258252,0.00031805877011792383,8.999999999999986,0.004499999999999997,remove_recent_exit_with_slope
000001,-8.582435084059092e-05,0.0011296658589369114,-0.008074270793671401,-8.582435084059092e-05,12.599999999999994,0.006300000000000007,remove_recent_exit_with_slope
000002,0.013438629095973376,0.07241400115146313,0.015540942040444539,0.013438629095973376,9.600000000000009,0.004800000000000006,remove_recent_exit_with_slope
300750,-0.0001175038972713871,-0.005635813285837843,-0.020726250320628692,-0.0001175038972713871,21.000000000000007,0.010500000000000002,remove_both_conditions
600519,-0.0032319733498786807,-0.01599723722140184,-0.00781724440794851,-0.0032319733498786807,28.200000000000003,0.014099999999999994,remove_both_conditions
600036,0.00437024505075323,0.02346661715567735,-0.02657471884947904,0.00437024505075323,23.400000000000006,0.011699999999999995,remove_both_conditions
000001,-0.007839930900391368,-0.031180074169130823,-0.027796730378267798,-0.007839930900391368,30.60000000000001,0.015300000000000001,remove_both_conditions
000002,0.005722437638444378,0.04425170845309323,0.0028487254042367516,0.005722437638444378,34.2,0.017100000000000004,remove_both_conditions
300750,0.005905011006561489,0.007662152852268234,-0.0018918171052330068,0.005905011006561489,11.400000000000006,0.0057,remove_recent_exit_without_slope
600519,0.0020452243219171162,0.008331055988929803,-0.0019966225197738385,0.0020452243219171162,18.0,0.009000000000000001,remove_recent_exit_without_slope
600036,-0.0017347192411897305,-0.006935578442856229,-0.03237071504832911,-0.0017347192411897305,12.000000000000014,0.005999999999999998,remove_recent_exit_without_slope
000001,-0.002381217653822598,-0.00796650361267686,-0.003529073799829918,-0.002381217653822598,19.200000000000017,0.009599999999999997,remove_recent_exit_without_slope
000002,0.01407887254221385,0.0797742588947844,0.014034309539307843,0.01407887254221385,16.799999999999997,0.008399999999999998,remove_recent_exit_without_slope
300750,0.012768513520040159,0.02204238438451145,0.018803883754030526,0.012768513520040159,9.000000000000007,0.004500000000000004,remove_slope_without_recent_exit
600519,-0.001855335429815419,-0.009212128374568751,-0.004177821567767248,-0.001855335429815419,19.200000000000003,0.009599999999999997,remove_slope_without_recent_exit
600036,0.004052186280635306,0.020680804296086416,0.008943034676346162,0.004052186280635306,14.40000000000002,0.007199999999999998,remove_slope_without_recent_exit
000001,-0.007754106549550777,-0.03230974002806773,-0.019722459584596397,-0.007754106549550777,18.000000000000014,0.008999999999999994,remove_slope_without_recent_exit
000002,-0.007716191457528998,-0.028162292698369895,-0.012692216636207787,-0.007716191457528998,24.599999999999994,0.012299999999999998,remove_slope_without_recent_exit
