strategy_name,year,stock_count,avg_strategy_return,median_strategy_return,avg_excess_return,excess_win_rate
binary_10_40,2018,5,-0.1091371086026052,-0.05206286193772758,0.025418349133480178,0.4
binary_10_40,2019,5,0.3289766784704885,0.42521488319608114,-0.30890418138573217,0.0
binary_10_40,2020,5,0.2736081595919778,-0.11103363248554599,-0.39430847560848126,0.0
binary_10_40,2021,5,0.01787487939870378,-0.12075480254787019,-0.06893510676154235,0.2
binary_10_40,2022,5,-0.09546080040038205,-0.11889214079136667,0.08020538010454106,0.8
binary_10_40,2023,5,-0.055491964377442436,-0.07173308679721135,0.16407184378696318,1.0
binary_10_40,2024,5,0.06339539150738749,0.0023625506355458015,-0.16466077526086947,0.2
graded_v1,2018,5,-0.12911161397497337,-0.10694295619322625,0.005443843761111999,0.4
graded_v1,2019,5,0.361066447177249,0.4050299834577009,-0.27681441267897167,0.0
graded_v1,2020,5,0.2944597634340044,-0.07709202861742781,-0.3734568717664547,0.0
graded_v1,2021,5,-0.015841263887360735,-0.11072043590129355,-0.10265125004760686,0.0
graded_v1,2022,5,-0.09664472005570365,-0.10056068694220544,0.07902146044921946,0.8
graded_v1,2023,5,-0.08230955246667224,-0.1159585451244649,0.13725425569773336,1.0
graded_v1,2024,5,0.10008342832080082,0.06667783437539732,-0.12797273844745613,0.2
graded_v2,2018,5,-0.11556626336119617,-0.06411557023076353,0.018989194374889197,0.4
graded_v2,2019,5,0.3315550058494458,0.41453221655968187,-0.30632585400677487,0.0
graded_v2,2020,5,0.28896115943703427,-0.06620104336801258,-0.37895547576342475,0.0
graded_v2,2021,5,0.021521250263799984,-0.11734836959119432,-0.06528873589644615,0.2
graded_v2,2022,5,-0.0956983441868963,-0.11394312449738686,0.07996783631802681,0.8
graded_v2,2023,5,-0.059554546846822085,-0.07173308679721135,0.16000926131758353,1.0
graded_v2,2024,5,0.0678538819875896,0.025276097646512508,-0.16020228478066736,0.2
