ma_param,year,observation_count,active_return_sum,active_log_return_sum,missed_upside_loss,avoided_downside_benefit,transaction_cost_loss,net_timing_benefit,benefit_cost_ratio,missed_upside_days,avoided_downside_days,captured_upside_days,suffered_downside_days,primary_failure_driver
20/60,2019,2440,-1.6007891795815212,-1.5005975353630978,5.558189311614987,3.980900132033465,0.0235,-1.5772891795815216,0.713207043564674,442,369,785,718,missed_upside
10/40,2019,2440,-1.4536174579906205,-1.3230139442262505,6.042857181964653,4.624239723974032,0.035,-1.4186174579906208,0.7608338902230107,459,380,768,707,missed_upside
10/40,2017,2339,-1.41050254665207,-1.3180172328611792,4.768051116007219,3.392548569355149,0.035,-1.3755025466520698,0.7063319726181423,371,312,806,694,missed_upside
20/60,2024,2420,-1.215928717053568,-1.0309191919549592,7.2530258615593,6.059597144505732,0.0225,-1.1934287170535685,0.8328741124434724,495,498,643,700,missed_upside
10/40,2020,2430,-1.0899782980772175,-0.9246083295622618,7.368871112566039,6.316392814488822,0.037500000000000006,-1.052478298077217,0.8528323410329922,532,552,612,619,missed_upside
20/60,2017,2339,-0.9618173132171275,-0.888430082419366,3.543229881166906,2.602412567949778,0.021,-0.9408173132171278,0.7301472280732255,277,247,900,759,missed_upside
10/40,2024,2420,-0.9796742934041236,-0.8149301277471867,6.801491497394468,5.859817203990345,0.038,-0.9416742934041231,0.8567621154617512,488,502,650,696,missed_upside
20/60,2020,2430,-0.7795597187696988,-0.6215860463682323,6.799555727385947,6.042496008616249,0.022500000000000003,-0.7570597187696979,0.8857295000332096,482,524,662,647,missed_upside
10/40,2018,2430,-0.8585742286282441,-0.5591297661680117,10.455486551382208,9.635412322753963,0.0385,-0.8200742286282452,0.918184169150173,638,625,536,536,missed_upside
20/60,2018,2430,-0.3657481765960074,-0.049006442854006044,10.482564790905716,10.141316614309707,0.0245,-0.34124817659600915,0.9651902616121127,638,632,536,529,missed_upside
10/40,2015,1522,-0.6925036898655551,0.0513731690186795,13.18584048734893,12.518836797483376,0.025500000000000002,-0.6670036898655543,0.9475826324718003,427,399,304,355,missed_upside
10/40,2023,2420,-0.05344638874684876,0.08525752255524514,6.45906535276006,6.441118964013211,0.035500000000000004,-0.017946388746849173,0.991770598054859,529,633,550,612,missed_upside
20/60,2023,2420,0.05946924431972911,0.19515333569088214,5.948142237413506,6.032611481733234,0.025,0.08446924431972835,1.0099561071804444,483,588,596,657,none
10/40,2021,2420,-0.053048752570169,0.22488612530604918,9.610275743825607,9.597726991255438,0.0405,-0.012548752570168631,0.9945031618205294,636,688,454,514,missed_upside
20/60,2016,2413,-0.015513349202429694,0.27681716991052013,7.679178349782635,7.682165000580205,0.018500000000000003,0.0029866507975695455,0.9979846716766402,479,458,631,650,missed_upside
20/60,2021,2420,0.01198067453050966,0.2844123059614145,9.648645876084478,9.686626550614989,0.026000000000000002,0.03798067453051068,1.0012383579392943,654,693,436,509,none
10/40,2016,2413,0.5996561429572026,0.8862355406133583,7.2524036523309405,7.885559795288143,0.0335,0.6331561429572021,1.0823036059178957,474,470,636,638,none
20/60,2015,1522,0.22876313433576284,0.9211946962166719,11.988616103763272,12.230879238099034,0.0135,0.24226313433576152,1.0190602334086762,412,398,319,356,none
20/60,2022,2419,0.7129634553381443,0.9668178668864925,8.670141091538376,9.40660454687652,0.0235,0.7364634553381446,1.0820097641288735,612,683,485,524,none
10/40,2022,2419,0.8562829681519601,1.1036136395068705,8.430675723187445,9.321958691339404,0.035,0.891282968151959,1.1011476220151692,618,673,479,534,none
