market_direction,trend_quality,volatility_state,10/40,20/60,10_40_minus_20_60
down,choppy,high_vol,-0.0027532427860253827,-0.0021420238654401495,-0.0006112189205852332
down,choppy,low_vol,-0.0002900498551586639,-5.159684007954671e-05,-0.00023845301507911717
down,trending,high_vol,-0.002187276242472007,-0.0021388704079554196,-4.8405834516587407e-05
down,trending,low_vol,-0.0005142689125775175,-0.0006254996216042048,0.00011123070902668733
sideways,choppy,high_vol,-0.0002799854198751658,-0.0001466495447611851,-0.00013333587511398068
sideways,choppy,low_vol,-0.00010701012280651324,-0.00013511874068400812,2.8108617877494878e-05
sideways,trending,high_vol,-0.0007168512966116997,-0.00046967688948445005,-0.0002471744071272497
sideways,trending,low_vol,2.2765978324413953e-05,7.273409882596882e-05,-4.996812050155487e-05
up,choppy,high_vol,0.00024348880145958144,5.088278640821416e-05,0.00019260601505136728
up,choppy,low_vol,0.00031617448036561205,0.00011629198219752134,0.0001998824981680907
up,trending,high_vol,-0.00014748193043180667,5.228142545383695e-05,-0.00019976335588564362
up,trending,low_vol,-0.00019812569804980807,-2.3984737005955183e-05,-0.00017414096104385288
