ma_param,symbol,observation_count,active_return_sum,active_log_return_sum,missed_upside_loss,avoided_downside_benefit,transaction_cost_loss,net_timing_benefit,benefit_cost_ratio,missed_upside_days,avoided_downside_days,captured_upside_days,suffered_downside_days,primary_failure_driver
20/60,600585,2352,-0.903718037301811,-0.6389284648862319,8.965415133065573,8.082197095763764,0.020499999999999997,-0.883218037301809,0.8994294933883376,547,562,587,618,missed_upside
10/40,600887,2328,-0.83950614061103,-0.5873056768536264,8.512006829050932,7.705500688439901,0.033,-0.806506140611031,0.9017547724178622,541,547,601,601,missed_upside
10/40,600104,2332,-0.8181290081413294,-0.5773678524890608,8.615186026121002,7.833057017979672,0.036000000000000004,-0.7821290081413297,0.9054315783210409,578,582,526,581,missed_upside
10/40,600585,2352,-0.7730957769984854,-0.5305018844099515,8.55472397009997,7.819128193101484,0.037500000000000006,-0.7355957769984851,0.9100237866600339,543,565,591,615,missed_upside
10/40,600028,2352,-0.6090070032767221,-0.48017147764920015,5.76634851269349,5.195341509416769,0.038000000000000006,-0.5710070032767209,0.8950774575398276,493,441,556,564,missed_upside
20/60,600028,2352,-0.5865505450782911,-0.468118443135355,5.348247854077954,4.786697308999663,0.025,-0.5615505450782905,0.8908387327353351,446,407,603,598,missed_upside
20/60,600900,2233,-0.5112443756742852,-0.46652442118292253,3.178485290015753,2.6882409143414674,0.020999999999999998,-0.4902443756742856,0.840210430949733,370,317,721,715,missed_upside
10/40,600900,2233,-0.37120898297537086,-0.31805020340893936,3.509358349290224,3.172149366314853,0.034,-0.3372089829753713,0.8952380915552252,393,386,698,646,missed_upside
20/60,600276,2351,-0.5588565536200368,-0.2975847133297787,7.903806063810036,7.365449510189999,0.0205,-0.5383565536200372,0.9294756475683957,434,440,748,702,missed_upside
10/40,600050,2257,-0.48671935228078145,-0.22543868641091602,8.399359624572151,7.947640272291369,0.035,-0.4517193522807821,0.942293265411306,545,596,406,493,missed_upside
10/40,601006,2352,-0.3266896965658064,-0.19431394739861957,5.335296737759602,5.0436070411937965,0.035,-0.2916896965658058,0.9391672913958763,499,475,557,563,missed_upside
20/60,600050,2257,-0.47171513050059843,-0.18644661153356296,8.981166090686923,8.533450960186324,0.024,-0.4477151305005993,0.9476172759335951,563,620,388,469,missed_upside
10/40,600031,2351,-0.4383249412219735,-0.10578565937994444,9.341398154099826,8.937573212877854,0.0345,-0.40382494122197166,0.9532498184154973,502,526,628,627,missed_upside
20/60,601006,2352,-0.21874911851699597,-0.10475703474445563,5.012003574150608,4.818254455633612,0.025,-0.19374911851699572,0.9565715776658181,500,478,556,560,missed_upside
20/60,600887,2328,-0.3008012099324422,-0.055015707016287885,8.223754498984714,7.942953289052274,0.02,-0.2808012099324406,0.9635116244704417,538,551,604,597,missed_upside
20/60,600104,2332,-0.22751289627944227,0.009492751981533765,8.170535495571553,7.967022599292109,0.024,-0.20351289627944347,0.9722360228468845,566,584,538,579,missed_upside
10/40,600276,2351,-0.21281436213086852,0.05155488695333621,8.25465257202599,8.07433820989512,0.0325,-0.1803143621308685,0.9743199657202833,484,495,698,647,missed_upside
20/60,600031,2351,-0.07279502894460271,0.2370160498864448,8.613055232050868,8.561760203106266,0.021500000000000002,-0.051295028944602805,0.9915693365797936,467,523,663,630,missed_upside
10/40,600570,2345,-0.2599112806233182,0.37904709748223464,14.086687643054383,13.865276362431064,0.0385,-0.22141128062331816,0.9815994458133006,594,621,534,568,missed_upside
20/60,600570,2345,-0.0742370500477012,0.5247226696669365,13.174819998801139,13.119582948753436,0.019,-0.05523705004770285,0.9943733467597369,543,608,585,581,missed_upside
