strategy_name,year,trade_days,strategy_return,benchmark_return,excess_return,strategy_sharpe,benchmark_sharpe,strategy_max_drawdown,benchmark_max_drawdown
dynamic_rule_c,2021,138,-0.0006545107467874622,-0.06806265335253969,0.06740814260575223,0.062310283321807595,-0.40460237597187243,-0.06596232545920921,-0.1614221230740237
dynamic_rule_c,2022,242,-0.16876357323414726,-0.19269115943249449,0.023927586198347228,-2.238688473276972,-0.6438216979417797,-0.17161016564132014,-0.3681521730275129
dynamic_rule_c,2023,242,-0.15981466010567136,-0.2173587139284836,0.05754405382281225,-1.829546082554589,-1.3031427283694605,-0.2126493185920848,-0.3292381190988456
dynamic_rule_c,2024,103,0.024905503628966708,0.06150515571431403,-0.03659965208534732,0.6077957970187334,0.7943298078049874,-0.04679761964395357,-0.06401695929776863
fixed_10_40,2021,138,-0.039143908642046865,-0.06806265335253969,0.028918744710492827,-0.49799387069363055,-0.40460237597187243,-0.08623453755919308,-0.1614221230740237
fixed_10_40,2022,242,-0.09405590651639706,-0.19269115943249449,0.09863525291609743,-0.6963882154017186,-0.6438216979417797,-0.1696411809256234,-0.3681521730275129
fixed_10_40,2023,242,-0.05138620918279069,-0.2173587139284836,0.16597250474569292,-0.5047607585073961,-1.3031427283694605,-0.1575046579845082,-0.3292381190988456
fixed_10_40,2024,103,0.06001462827260906,0.06150515571431403,-0.0014905274417049696,1.007366458683568,0.7943298078049874,-0.057134428843992,-0.06401695929776863
fixed_20_60,2021,138,-0.07168200636946187,-0.06806265335253969,-0.0036193530169221777,-0.9363406705011439,-0.40460237597187243,-0.10760380899241684,-0.1614221230740237
fixed_20_60,2022,242,-0.14028324491036648,-0.19269115943249449,0.05240791452212801,-1.5802972269982614,-0.6438216979417797,-0.160079682873578,-0.3681521730275129
fixed_20_60,2023,242,-0.06904721960061244,-0.2173587139284836,0.14831149432787116,-0.6736993615626626,-1.3031427283694605,-0.17267101015051645,-0.3292381190988456
fixed_20_60,2024,103,0.07418870537416189,0.06150515571431403,0.01268354965984786,1.3189706357983457,0.7943298078049874,-0.04606175083640107,-0.06401695929776863
fixed_25_110,2021,138,-0.0006545107467874622,-0.06806265335253969,0.06740814260575223,0.062310283321807595,-0.40460237597187243,-0.06596232545920921,-0.1614221230740237
fixed_25_110,2022,242,-0.16876357323414726,-0.19269115943249449,0.023927586198347228,-2.238688473276972,-0.6438216979417797,-0.17161016564132014,-0.3681521730275129
fixed_25_110,2023,242,-0.16639256978456762,-0.2173587139284836,0.05096614414391598,-1.9336838888758476,-1.3031427283694605,-0.2181161302204505,-0.3292381190988456
fixed_25_110,2024,103,0.02009882985524758,0.06150515571431403,-0.04140632585906645,0.5098706045021368,0.7943298078049874,-0.04642038158223716,-0.06401695929776863
