strategy_name,fold_id,start_date,end_date,strategy_return,benchmark_return,excess_return,max_drawdown
dynamic_rule_c,1,2021-06-11,2022-06-10,-0.0733537613629478,-0.20799374851371977,0.13463998715077197,-0.12290606232546186
dynamic_rule_c,2,2022-06-13,2023-06-09,-0.20699423809066542,-0.13197858955169817,-0.07501564853896725,-0.29901546987756034
dynamic_rule_c,3,2023-06-12,2024-06-07,-0.026560784852370678,-0.09081504745101865,0.06425426259864797,-0.3456394114856778
fixed_10_40,1,2021-06-11,2022-06-10,-0.0990749898362695,-0.20799374851371977,0.10891875867745027,-0.1389641436205884
fixed_10_40,2,2022-06-13,2023-06-09,-0.02828296254789553,-0.13197858955169817,0.10369562700380264,-0.20140039758034511
fixed_10_40,3,2023-06-12,2024-06-07,-0.00015523408487017054,-0.09081504745101865,0.09065981336614848,-0.1948479828798606
fixed_20_60,1,2021-06-11,2022-06-10,-0.11772089218684756,-0.20799374851371977,0.09027285632687221,-0.15314248436809152
fixed_20_60,2,2022-06-13,2023-06-09,-0.11194817787437039,-0.13197858955169817,0.020030411677327775,-0.2385351526295818
fixed_20_60,3,2023-06-12,2024-06-07,0.018629124360797666,-0.09081504745101865,0.10944417181181632,-0.27790191607791614
fixed_25_110,1,2021-06-11,2022-06-10,-0.0733537613629478,-0.20799374851371977,0.13463998715077197,-0.12290606232546186
fixed_25_110,2,2022-06-13,2023-06-09,-0.20699423809066542,-0.13197858955169817,-0.07501564853896725,-0.29901546987756034
fixed_25_110,3,2023-06-12,2024-06-07,-0.038711516030739745,-0.09081504745101865,0.052103531420278903,-0.3539481031559829
